Time,Timestamp,GE - HR (ECG),GE - SpO₂ 1,GE - HR (SpO₂) 1,GE - Temp 1,GE - Temp 2,GE - RR (CO₂),GE - RR (imp) 1
2022-10-27 09:38:00,1666881480.332242,164,93,166,,,,73
2022-10-27 09:38:02,1666881482.334781,165,93,167,,,,59
2022-10-27 09:38:04,1666881484.325515,165,94,168,,,,50
2022-10-27 09:38:06,1666881486.328034,166,93,167,,,,64
2022-10-27 09:38:08,1666881488.330572,166,93,167,,,,61
2022-10-27 09:38:10,1666881490.332938,166,92,168,,,,56
2022-10-27 09:38:12,1666881492.319799,166,92,167,,,,61
2022-10-27 09:38:14,1666881494.325335,166,92,168,,,,48
2022-10-27 09:38:16,1666881496.328066,167,92,170,,,,39
2022-10-27 09:38:18,1666881498.330345,168,92,171,,,,52
2022-10-27 09:38:20,1666881500.332847,169,93,170,,,,74
2022-10-27 09:38:22,1666881502.319821,169,94,170,,,,65
2022-10-27 09:38:24,1666881504.324369,170,95,169,,,,87
2022-10-27 09:38:26,1666881506.326831,169,95,168,,,,87
2022-10-27 09:38:28,1666881508.329813,168,95,167,,,,99
2022-10-27 09:38:30,1666881510.3322,168,93,166,,,,97
2022-10-27 09:38:32,1666881512.33006,167,91,164,,,,101
2022-10-27 09:38:34,1666881514.332629,166,91,164,,,,100
2022-10-27 09:38:36,1666881516.319452,165,92,163,,,,106
2022-10-27 09:38:38,1666881518.321967,164,92,163,,,,85
2022-10-27 09:38:40,1666881520.324496,164,92,162,,,,104
2022-10-27 09:38:42,1666881522.327052,163,92,162,,,,101
2022-10-27 09:38:44,1666881524.329935,163,92,162,,,,98
2022-10-27 09:38:46,1666881526.330626,163,91,163,,,,108
2022-10-27 09:38:48,1666881528.319742,163,92,164,,,,99
2022-10-27 09:38:50,1666881530.324503,163,93,164,,,,95
2022-10-27 09:38:52,1666881532.329708,163,94,164,,,,100
2022-10-27 09:38:54,1666881534.33445,163,93,164,,,,73
2022-10-27 09:38:56,1666881536.323535,163,92,164,,,,73
2022-10-27 09:38:58,1666881538.32832,163,92,164,,,,97
2022-10-27 09:39:00,1666881540.333278,163,92,164,,,,94
2022-10-27 09:39:02,1666881542.322505,163,92,164,,,,91
2022-10-27 09:39:04,1666881544.327299,163,92,164,,,,104
2022-10-27 09:39:06,1666881546.332232,163,92,163,,,,83
2022-10-27 09:39:08,1666881548.321527,163,92,165,,,,60
2022-10-27 09:39:10,1666881550.326511,163,92,165,,,,56
2022-10-27 09:39:12,1666881552.331824,164,92,166,,,,92
2022-10-27 09:39:14,1666881554.320995,165,92,166,,,,92
2022-10-27 09:39:16,1666881556.325903,165,93,166,,,,97
2022-10-27 09:39:18,1666881558.330863,166,94,166,,,,97
2022-10-27 09:39:20,1666881560.320101,166,94,165,,,,94
2022-10-27 09:39:22,1666881562.324921,165,92,165,,,,105
2022-10-27 09:39:24,1666881564.329726,164,90,165,,,,68
2022-10-27 09:39:26,1666881566.319948,164,90,164,,,,80
2022-10-27 09:39:28,1666881568.324745,163,91,164,,,,98
2022-10-27 09:39:30,1666881570.329618,163,91,164,,,,84
2022-10-27 09:39:32,1666881572.330133,164,93,165,,,,69
2022-10-27 09:39:34,1666881574.330439,164,93,165,,,,76
2022-10-27 09:39:36,1666881576.319668,165,93,165,,,,74
2022-10-27 09:39:38,1666881578.324501,165,93,165,,,,92
2022-10-27 09:39:40,1666881580.329402,164,92,164,,,,84
2022-10-27 09:39:42,1666881582.319173,164,92,163,,,,66
2022-10-27 09:39:44,1666881584.323999,163,92,162,,,,61
2022-10-27 09:39:46,1666881586.328695,162,92,161,,,,75
2022-10-27 09:39:48,1666881588.318708,162,91,159,,,,89
2022-10-27 09:39:50,1666881590.323948,161,91,159,,,,91
2022-10-27 09:39:52,1666881592.32868,160,91,158,,,,104
2022-10-27 09:39:54,1666881594.317799,159,91,158,,,,101
2022-10-27 09:39:56,1666881596.322523,158,92,157,,,,92
2022-10-27 09:39:58,1666881598.327324,158,91,158,,,,104
2022-10-27 09:40:00,1666881600.332235,158,92,158,,,,101
2022-10-27 09:40:02,1666881602.321522,158,92,157,,,,92
2022-10-27 09:40:04,1666881604.326382,157,91,157,,,,90
2022-10-27 09:40:06,1666881606.331227,157,91,156,,,,89
2022-10-27 09:40:08,1666881608.320525,156,91,156,,,,143
2022-10-27 09:40:10,1666881610.325461,156,91,156,,,,111
2022-10-27 09:40:12,1666881612.33034,156,92,156,,,,112
2022-10-27 09:40:14,1666881614.319558,156,92,156,,,,101
2022-10-27 09:40:16,1666881616.324362,156,91,157,,,,96
2022-10-27 09:40:18,1666881618.329354,156,90,157,,,,87
2022-10-27 09:40:20,1666881620.320467,157,90,158,,,,63
2022-10-27 09:40:22,1666881622.325796,158,90,160,,,,60
2022-10-27 09:40:24,1666881624.318012,158,90,160,,,,45
2022-10-27 09:40:26,1666881626.324022,159,90,161,,,,63
2022-10-27 09:40:28,1666881628.329416,159,90,161,,,,77
2022-10-27 09:40:30,1666881630.318524,159,91,161,,,,66
2022-10-27 09:40:32,1666881632.319211,159,93,161,,,,59
2022-10-27 09:40:34,1666881634.324078,159,94,160,,,,49
2022-10-27 09:40:36,1666881636.328985,159,95,160,,,,58
2022-10-27 09:40:38,1666881638.318956,159,95,158,,,,65
2022-10-27 09:40:40,1666881640.324468,159,95,158,,,,80
2022-10-27 09:40:42,1666881642.329397,158,95,157,,,,72
2022-10-27 09:40:44,1666881644.319112,157,94,159,,,,63
2022-10-27 09:40:46,1666881646.323932,157,94,159,,,,48
2022-10-27 09:40:48,1666881648.3287,158,94,158,,,,62
2022-10-27 09:40:50,1666881650.317821,158,93,158,,,,63
2022-10-27 09:40:52,1666881652.323396,158,92,158,,,,54
2022-10-27 09:40:54,1666881654.328132,157,90,158,,,,43
2022-10-27 09:40:56,1666881656.31777,157,90,159,,,,77
2022-10-27 09:40:58,1666881658.323116,158,90,158,,,,94
2022-10-27 09:41:00,1666881660.328566,158,90,158,,,,69
2022-10-27 09:41:02,1666881662.318714,158,91,158,,,,72
2022-10-27 09:41:04,1666881664.324116,157,91,157,,,,88
2022-10-27 09:41:06,1666881666.328945,157,91,157,,,,66
2022-10-27 09:41:08,1666881668.318653,156,91,158,,,,56
2022-10-27 09:41:10,1666881670.325626,156,92,157,,,,89
2022-10-27 09:41:12,1666881672.315368,156,92,157,,,,64
2022-10-27 09:41:14,1666881674.31955,156,91,158,,,,70
2022-10-27 09:41:16,1666881676.325351,157,91,159,,,,77
2022-10-27 09:41:18,1666881678.314984,158,91,159,,,,70
2022-10-27 09:41:20,1666881680.320302,158,91,159,,,,61
2022-10-27 09:41:22,1666881682.326126,159,91,159,,,,67
2022-10-27 09:41:24,1666881684.315739,159,92,159,,,,70
2022-10-27 09:41:26,1666881686.320538,159,93,160,,,,72
2022-10-27 09:41:28,1666881688.32632,159,94,161,,,,45
2022-10-27 09:41:30,1666881690.315577,160,93,163,,,,42
2022-10-27 09:41:32,1666881692.31634,161,92,164,,,,31
2022-10-27 09:41:34,1666881694.32163,161,91,164,,,,32
2022-10-27 09:41:36,1666881696.326487,161,92,162,,,,31
2022-10-27 09:41:38,1666881698.315714,162,93,160,,,,30
2022-10-27 09:41:40,1666881700.32523,161,93,159,,,,32
